UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure,Failure Type
4671,L51850,L,303.2,311.4,1610,35.5,63,False,No Failure
8136,L55315,L,299.6,311.0,1554,36.3,62,False,No Failure
8161,M23020,M,299.7,311.1,1618,30.3,125,False,No Failure
3777,L50956,L,302.5,311.1,1538,36.8,208,False,No Failure
8122,L55301,L,300.2,311.6,1827,27.0,22,False,No Failure
4466,L51645,L,302.8,310.6,1404,43.2,203,False,No Failure
9163,M24022,M,297.6,308.6,1509,39.7,166,False,No Failure
4573,M19432,M,302.9,311.0,1556,36.5,44,False,No Failure
1343,M16202,M,298.6,310.1,1596,33.0,15,False,No Failure
5233,L52412,L,303.6,312.9,1381,57.8,27,False,No Failure
6242,L53421,L,301.1,310.5,1324,52.4,171,False,No Failure
3222,L50401,L,300.6,309.6,1423,49.1,74,False,No Failure
8558,L55737,L,298.3,309.0,1471,48.3,91,False,No Failure
227,L47406,L,298.3,308.4,1329,49.2,166,False,No Failure
2091,L49270,L,299.5,309.2,1393,47.3,20,False,No Failure
9771,H39184,H,298.6,309.5,1584,31.8,27,False,No Failure
1066,L48245,L,296.8,307.9,1718,25.2,148,False,No Failure
7299,L54478,L,300.1,310.5,1532,36.0,109,False,No Failure
3019,M17878,M,300.5,309.8,1566,35.9,204,False,No Failure
9726,M24585,M,298.7,309.7,1629,27.9,136,False,No Failure
746,L47925,L,296.7,308.0,1451,50.7,197,False,No Failure
2216,H31629,H,299.7,309.2,1468,49.6,132,False,No Failure
842,L48021,L,296.6,307.5,1439,45.5,199,False,No Failure
916,M15775,M,295.4,305.8,1526,38.2,181,False,No Failure
1772,L48951,L,298.4,307.9,1446,45.3,23,False,No Failure
7542,M22401,M,300.3,311.5,1528,40.9,76,False,No Failure
932,L48111,L,295.5,305.9,1542,36.2,12,False,No Failure
2271,L49450,L,299.3,308.6,1437,48.1,67,False,No Failure
3061,L50240,L,300.0,309.1,1882,23.8,84,False,No Failure
40,L47219,L,298.8,309.1,1350,52.5,111,False,No Failure
9884,H39297,H,298.7,309.6,1654,34.3,136,False,No Failure
5902,L53081,L,301.0,310.7,1464,45.8,184,False,No Failure
9531,H38944,H,299.1,310.4,1405,53.6,86,False,No Failure
6084,L53263,L,300.9,310.7,1389,50.0,214,False,No Failure
5557,H34970,H,302.5,312.0,1357,42.0,179,False,No Failure
9775,H39188,H,298.6,309.5,1375,41.0,39,False,No Failure
5410,L52589,L,302.7,312.4,1433,44.2,17,False,No Failure
9481,M24340,M,298.9,309.6,1434,43.8,180,False,No Failure
7584,L54763,L,300.3,311.1,1480,46.6,185,False,No Failure
4323,M19182,M,301.7,310.1,1431,44.0,61,False,No Failure
3572,M18431,M,301.7,310.6,1691,27.7,105,False,No Failure
3251,H32664,H,301.2,309.8,1709,27.0,151,False,No Failure
9159,H38572,H,297.4,308.4,1487,46.2,150,False,No Failure
2181,H31594,H,299.6,309.2,1597,36.3,35,False,No Failure
2843,L50022,L,300.3,309.3,1345,53.5,192,False,No Failure
9310,L56489,L,298.3,309.2,1562,37.6,137,False,No Failure
6382,L53561,L,300.2,309.7,1771,27.1,104,False,No Failure
4145,L51324,L,301.8,310.1,1738,28.0,58,False,No Failure
636,L47815,L,298.3,310.0,1858,23.9,114,False,No Failure
4946,L52125,L,303.6,312.7,1418,44.1,118,False,No Failure
1152,L48331,L,297.0,307.9,1350,47.7,168,False,No Failure
7369,M22228,M,299.6,310.2,1620,30.0,70,False,No Failure
4652,L51831,L,303.2,311.4,1349,51.1,9,True,Heat Dissipation Failure
9133,M23992,M,297.6,308.6,1585,42.0,90,False,No Failure
3064,L50243,L,300.0,309.1,1431,45.4,90,False,No Failure
1014,M15873,M,296.1,307.2,1619,29.7,17,False,No Failure
9071,L56250,L,297.1,308.2,1427,45.2,136,False,No Failure
8098,L55277,L,300.3,311.7,1452,41.5,172,False,No Failure
3666,M18525,M,302.4,311.8,1358,50.6,133,False,No Failure
1401,H30814,H,298.9,310.1,1366,62.7,161,False,No Failure
3944,L51123,L,302.3,311.4,1333,66.7,205,True,Power Failure
9850,L57029,L,298.6,309.4,2312,15.5,44,False,No Failure
9408,L56587,L,297.8,308.3,1435,50.1,189,False,No Failure
7074,L54253,L,300.7,310.6,1491,43.2,187,False,No Failure
5474,L52653,L,302.7,312.2,1369,51.8,174,False,No Failure
1124,H30537,H,296.6,307.7,1386,62.3,100,True,Power Failure
6843,L54022,L,301.2,311.2,1635,29.6,211,False,No Failure
2315,L49494,L,299.2,308.9,1368,47.2,175,False,No Failure
1000,L48179,L,296.3,307.1,1560,33.2,186,False,No Failure
9650,H39063,H,299.1,310.0,1657,33.1,187,False,No Failure
8285,L55464,L,298.8,310.6,1651,33.3,0,False,No Failure
5729,M20588,M,302.4,311.9,1422,46.4,194,False,No Failure
6288,M21147,M,301.1,310.6,1479,41.1,72,False,No Failure
423,L47602,L,297.3,308.3,1333,55.2,11,False,No Failure
2234,L49413,L,299.5,308.7,2549,13.0,179,True,Power Failure
9611,L56790,L,299.0,310.1,1505,41.3,85,False,No Failure
4434,H33847,H,302.4,310.2,1435,44.9,127,False,No Failure
9420,L56599,L,298.0,308.4,1911,22.0,13,False,No Failure
7108,H36521,H,300.9,310.5,1512,41.2,49,False,No Failure
1913,M16772,M,298.0,307.7,1621,34.9,194,False,No Failure
2143,L49322,L,299.3,308.9,1376,60.3,163,False,No Failure
5353,M20212,M,303.4,312.8,1590,36.3,113,False,No Failure
4028,L51207,L,302.0,311.0,1566,37.8,218,False,No Failure
4962,L52141,L,303.9,312.7,1800,24.3,158,False,No Failure
112,H29525,H,298.7,308.6,1499,43.5,84,False,No Failure
1759,L48938,L,298.1,307.4,1608,33.9,193,False,No Failure
644,M15503,M,297.8,309.4,1495,36.5,132,False,No Failure
85,L47264,L,298.9,308.9,1422,47.6,15,False,No Failure
1404,L48583,L,299.0,310.2,1372,48.0,174,False,No Failure
4332,M19191,M,301.6,309.9,1746,31.1,83,False,No Failure
541,L47720,L,297.4,309.4,1473,45.5,94,False,No Failure
4097,L51276,L,301.9,310.4,1370,51.7,153,True,Heat Dissipation Failure
1025,L48204,L,296.2,307.3,1711,29.9,42,False,No Failure
8420,L55599,L,299.0,310.3,1431,39.9,157,False,No Failure
2916,L50095,L,300.5,309.5,1255,62.1,138,False,No Failure
6668,H36081,H,301.4,310.5,1536,39.9,201,False,No Failure
1352,L48531,L,298.7,310.2,1525,43.7,34,False,No Failure
555,H29968,H,297.5,309.4,1368,45.3,129,False,No Failure
4914,M19773,M,303.5,312.3,1593,35.2,29,False,No Failure
9846,L57025,L,298.3,309.1,1421,47.4,33,False,No Failure
1966,L49145,L,297.8,307.5,1581,33.1,116,False,No Failure
4664,L51843,L,303.3,311.3,1389,53.9,39,False,No Failure
2639,L49818,L,299.8,309.5,1739,27.5,128,False,No Failure
4510,L51689,L,302.4,310.1,1429,43.7,104,False,No Failure
3971,M18830,M,302.3,311.4,1345,47.6,67,False,No Failure
3282,M18141,M,301.2,310.0,1445,45.6,18,False,No Failure
3369,L50548,L,301.5,310.8,1350,58.5,13,False,No Failure
8485,L55664,L,298.4,309.5,1397,50.3,110,False,No Failure
6367,M21226,M,299.9,309.5,2065,18.1,62,False,No Failure
4441,L51620,L,302.5,310.3,1446,44.0,146,False,No Failure
4528,M19387,M,302.4,310.5,1372,45.7,144,True,Heat Dissipation Failure
4113,H33526,H,301.9,310.5,1472,39.7,187,False,No Failure
635,L47814,L,298.3,309.9,1507,41.6,112,False,No Failure
5495,L52674,L,302.8,312.4,1368,49.5,10,False,No Failure
8830,M23689,M,297.3,308.8,1469,44.1,150,False,No Failure
4106,L51285,L,302.0,310.6,1583,35.2,171,False,No Failure
2242,L49421,L,299.2,308.4,1711,28.9,197,False,No Failure
7937,L55116,L,300.8,311.7,1490,46.4,217,False,No Failure
8686,H38099,H,297.2,308.5,1524,41.4,192,False,No Failure
4676,H34089,H,303.5,311.5,1629,33.5,73,False,No Failure
3533,L50712,L,301.9,310.9,1486,40.3,6,False,No Failure
2105,M16964,M,299.3,309.1,1600,35.3,52,False,No Failure
4585,L51764,L,302.8,311.1,1550,32.3,76,False,No Failure
1339,L48518,L,298.6,310.1,1721,27.2,5,False,No Failure
8040,L55219,L,300.8,311.9,1560,31.8,21,False,No Failure
2724,L49903,L,299.7,309.4,1362,51.9,117,False,No Failure
2816,M17675,M,300.1,309.4,1569,31.6,124,False,No Failure
6125,M20984,M,300.9,310.9,1727,30.1,102,False,No Failure
2547,L49726,L,299.2,309.1,1605,34.3,107,False,No Failure
4127,M18986,M,302.0,310.6,1623,34.3,9,False,No Failure
5834,L53013,L,301.3,311.2,1457,44.5,14,False,No Failure
6023,L53202,L,300.7,310.9,1521,39.4,61,False,No Failure
9369,L56548,L,297.7,308.4,1510,38.6,72,False,No Failure
2894,M17753,M,300.7,309.6,1568,35.2,82,False,No Failure
6466,M21325,M,300.5,309.8,1416,48.5,110,False,No Failure
3204,M18063,M,300.1,309.1,1533,38.0,26,False,No Failure
967,M15826,M,295.8,306.5,1641,32.2,101,False,No Failure
6180,M21039,M,301.1,310.9,1396,45.1,12,False,No Failure
7564,M22423,M,300.4,311.2,1831,23.4,133,False,No Failure
271,H29684,H,298.0,308.0,1520,39.6,51,False,No Failure
9206,L56385,L,297.8,308.8,1579,32.9,70,False,No Failure
2533,L49712,L,298.9,308.7,1389,44.9,69,False,No Failure
5145,L52324,L,304.4,313.7,1607,33.5,5,False,No Failure
3868,M18727,M,302.7,311.6,2709,9.7,2,True,Power Failure
5575,L52754,L,302.4,312.0,1305,49.1,16,False,No Failure
8055,L55234,L,300.4,311.8,1405,47.9,58,False,No Failure
3126,L50305,L,300.1,309.4,1694,27.4,44,False,No Failure
3239,M18098,M,300.9,309.4,1724,25.6,119,False,No Failure
8796,L55975,L,297.3,308.4,1459,39.4,59,False,No Failure
270,L47449,L,298.0,308.0,1524,37.0,49,False,No Failure
6631,M21490,M,301.6,310.5,1414,49.3,106,False,No Failure
1831,L49010,L,297.8,307.3,1859,24.0,178,False,No Failure
6711,L53890,L,301.5,310.7,1323,49.7,79,False,No Failure
9989,L57168,L,298.9,308.6,1771,24.1,213,False,No Failure
2496,M17355,M,299.1,308.8,1491,41.0,209,False,No Failure
5205,L52384,L,303.7,312.7,1989,22.4,166,False,No Failure
8367,M23226,M,298.9,309.8,1836,22.8,18,False,No Failure
3809,M18668,M,302.3,310.9,1762,24.5,73,False,No Failure
6711,L53890,L,301.5,310.7,1323,49.7,79,False,No Failure
4165,L51344,L,302.2,310.6,1346,47.5,109,True,Heat Dissipation Failure
1880,M16739,M,298.2,307.7,1608,33.8,106,False,No Failure
934,L48113,L,295.5,306.0,1597,37.2,16,False,No Failure
4777,L51956,L,303.5,312.1,1522,36.4,107,False,No Failure
4930,L52109,L,303.5,312.4,1340,44.5,76,False,No Failure
432,L47611,L,297.5,308.5,1446,41.9,32,False,No Failure
2125,L49304,L,299.2,308.9,1430,39.1,117,False,No Failure
8066,M22925,M,300.5,311.9,1670,26.3,89,False,No Failure
4252,H33665,H,302.5,310.9,1356,55.5,101,True,Heat Dissipation Failure
4193,M19052,M,302.5,311.0,1463,43.1,181,False,No Failure
407,L47586,L,297.4,308.6,1439,51.9,188,False,No Failure
6001,H35414,H,300.4,310.2,1431,43.2,0,False,No Failure
9025,L56204,L,297.4,308.3,1366,45.5,11,False,No Failure
7229,H36642,H,299.8,309.7,1368,47.4,148,False,No Failure
501,M15360,M,297.5,309.2,1804,27.4,215,False,No Failure
7952,M22811,M,300.9,311.8,1843,24.5,25,False,No Failure
798,L47977,L,296.8,307.7,1565,40.1,89,False,No Failure
9564,M24423,M,299.8,311.1,1763,25.5,171,False,No Failure
3211,M18070,M,300.3,309.2,1364,47.6,45,False,No Failure
5577,H34990,H,302.4,312.0,1457,43.4,23,False,No Failure
3731,M18590,M,302.3,311.2,1405,47.7,88,False,No Failure
7760,L54939,L,300.4,311.8,1272,59.2,198,True,Overstrain Failure
9310,L56489,L,298.3,309.2,1562,37.6,137,False,No Failure
9445,L56624,L,298.1,308.9,2136,15.9,78,False,No Failure
5097,H34510,H,304.2,313.5,1627,32.2,91,False,No Failure
266,L47445,L,298.0,308.1,1454,37.1,35,False,No Failure
6733,L53912,L,301.7,311.0,1503,44.8,134,False,No Failure
1748,L48927,L,298.4,307.9,2381,14.2,164,False,No Failure
7494,L54673,L,300.2,311.7,1448,54.2,173,False,No Failure
7688,M22547,M,300.7,311.7,2097,18.9,232,True,Tool Wear Failure
7968,M22827,M,301.0,312.2,1629,32.6,69,False,No Failure
9720,L56899,L,298.9,309.9,1309,56.2,119,False,No Failure
4832,L52011,L,303.5,312.0,1366,54.5,30,True,Heat Dissipation Failure
3672,M18531,M,302.3,311.7,1486,39.6,147,False,No Failure
4295,M19154,M,301.7,310.1,1743,27.3,210,False,No Failure
5718,L52897,L,302.3,312.0,1746,28.1,167,False,No Failure
5568,M20427,M,302.5,312.0,1445,54.8,0,False,No Failure
1078,L48257,L,296.8,307.6,1547,36.5,179,False,No Failure
9395,L56574,L,297.7,308.2,1334,53.0,156,False,No Failure
2772,L49951,L,299.9,309.5,1451,39.4,18,False,No Failure
2208,L49387,L,299.8,309.2,1591,37.5,109,False,No Failure
5606,L52785,L,302.9,312.2,1510,41.4,94,False,No Failure
6694,M21553,M,301.8,311.0,1756,26.7,33,False,No Failure
1923,L49102,L,298.0,307.8,1716,26.6,9,False,No Failure
1015,L48194,L,296.2,307.2,1445,41.8,20,False,No Failure
8281,L55460,L,298.8,310.6,1602,39.1,211,False,No Failure
1324,L48503,L,298.9,310.1,1361,51.7,192,False,No Failure
3612,L50791,L,301.7,310.9,1405,46.4,207,True,Tool Wear Failure
6358,L53537,L,300.2,309.8,1398,54.8,39,False,No Failure
8549,L55728,L,298.5,309.4,1578,36.3,71,False,No Failure
2316,L49495,L,299.2,308.9,1526,37.9,177,False,No Failure
8408,L55587,L,298.4,309.5,1357,50.1,125,False,No Failure
3693,L50872,L,302.1,311.3,1758,24.4,200,False,No Failure
1500,M16359,M,298.1,308.8,2206,16.3,195,False,No Failure
6491,L53670,L,300.7,309.9,1383,44.5,176,False,No Failure
7611,M22470,M,300.5,311.3,1507,43.4,41,False,No Failure
4272,L51451,L,302.6,310.8,1470,41.2,156,False,No Failure
240,L47419,L,298.0,308.2,1611,30.6,195,False,No Failure
4384,L51563,L,301.7,309.5,1298,65.5,229,True,Heat Dissipation Failure
8151,M23010,M,299.5,310.7,1424,41.3,101,False,No Failure
2626,L49805,L,299.7,309.4,1399,39.9,91,False,No Failure
8311,L55490,L,298.7,309.9,1465,39.7,72,False,No Failure
6315,M21174,M,301.0,310.4,1793,25.0,142,False,No Failure
78,L47257,L,298.8,308.9,1455,41.3,208,True,Tool Wear Failure
2384,L49563,L,299.1,308.2,1568,33.3,123,False,No Failure
5005,L52184,L,303.7,312.8,1364,46.3,44,False,No Failure
3078,L50257,L,300.1,309.3,1841,23.0,125,False,No Failure
3423,L50602,L,301.5,310.4,1629,34.1,151,False,No Failure
1843,H31256,H,297.7,307.1,1855,22.5,7,False,No Failure
7387,M22246,M,299.8,310.6,1574,31.8,113,False,No Failure
1211,L48390,L,297.0,308.1,1537,39.0,103,False,No Failure
9506,L56685,L,299.2,310.3,1429,40.1,23,False,No Failure
6473,H35886,H,300.4,309.6,1571,33.6,126,False,No Failure
773,H30186,H,296.8,308.0,1453,51.0,24,False,No Failure
2801,M17660,M,300.2,309.5,1500,45.7,89,False,No Failure
6884,L54063,L,300.9,311.3,1953,19.4,107,False,No Failure
8907,L56086,L,297.3,308.7,1592,34.4,158,False,No Failure
9805,L56984,L,298.4,309.1,1467,42.5,139,False,No Failure
4621,L51800,L,303.1,311.3,1336,52.6,172,True,Heat Dissipation Failure
5206,L52385,L,303.7,312.7,1468,43.3,168,False,No Failure
201,L47380,L,298.4,308.6,1609,35.0,103,False,No Failure
7608,M22467,M,300.5,311.3,1468,41.1,34,False,No Failure
1870,M16729,M,298.3,308.1,1630,32.7,83,False,No Failure
2095,L49274,L,299.4,309.3,1377,43.6,28,False,No Failure
2420,M17279,M,298.9,308.2,1328,49.2,11,False,No Failure
8549,L55728,L,298.5,309.4,1578,36.3,71,False,No Failure
3573,L50752,L,301.8,310.6,1451,50.7,108,False,No Failure
2241,L49420,L,299.2,308.5,1457,44.7,195,False,No Failure
6731,M21590,M,301.6,311.0,1431,42.3,129,False,No Failure
2223,L49402,L,299.7,309.0,1605,33.0,151,False,No Failure
6560,H35973,H,301.5,310.6,1512,39.0,143,False,No Failure
6871,H36284,H,301.0,311.3,1597,39.2,66,False,No Failure
9287,L56466,L,298.2,308.9,1605,32.0,79,False,No Failure
5383,L52562,L,302.9,312.4,1698,33.8,202,False,No Failure
5419,L52598,L,302.6,312.4,1398,41.6,40,False,No Failure
1877,L49056,L,298.3,308.0,1242,62.0,98,False,No Failure
3011,L50190,L,300.3,309.6,1537,37.1,187,False,No Failure
6063,M20922,M,301.1,311.2,1407,53.0,165,False,No Failure
6258,L53437,L,301.1,310.7,1376,49.1,0,False,No Failure
494,L47673,L,297.5,309.3,1470,38.8,197,False,No Failure
4957,M19816,M,303.8,312.5,2344,15.2,146,False,No Failure
7987,L55166,L,301.1,312.3,1587,34.5,115,False,No Failure
3416,L50595,L,301.4,310.4,1579,36.9,133,False,No Failure
3464,L50643,L,301.6,310.5,1809,25.5,40,False,No Failure
3444,L50623,L,301.5,310.5,1535,39.0,204,False,No Failure
7435,L54614,L,300.0,311.4,1508,38.2,18,False,No Failure
666,L47845,L,297.5,308.9,1729,28.1,189,False,No Failure
5898,M20757,M,301.0,310.7,1517,40.2,171,False,No Failure
9135,L56314,L,297.7,308.7,1449,40.2,95,False,No Failure
6594,L53773,L,301.6,310.7,1679,29.5,10,False,No Failure
9743,L56922,L,298.9,310.2,1623,37.2,177,False,No Failure
8388,L55567,L,298.8,309.9,1351,47.2,73,False,No Failure
9277,L56456,L,298.1,308.7,1691,30.3,49,False,No Failure
658,L47837,L,297.7,309.2,1365,58.6,170,False,No Failure
3930,M18789,M,302.7,311.6,1501,38.8,171,False,No Failure
8162,H37575,H,299.6,311.0,1714,30.2,128,False,No Failure
6167,H35580,H,300.9,310.7,1403,40.6,207,False,No Failure
2702,L49881,L,299.9,309.2,1333,50.8,61,False,No Failure
4117,M18976,M,302.0,310.5,1381,58.4,201,False,No Failure
7582,M22441,M,300.4,311.2,1366,56.1,177,False,No Failure
9552,L56731,L,299.4,310.8,1391,48.9,139,False,No Failure
3226,L50405,L,300.6,309.4,1474,40.7,87,False,No Failure
5283,H34696,H,303.8,313.2,1381,52.4,140,False,No Failure
2216,H31629,H,299.7,309.2,1468,49.6,132,False,No Failure
8759,M23618,M,297.5,308.7,1446,53.0,168,False,No Failure
4007,L51186,L,302.1,311.2,1492,45.0,162,False,No Failure
7681,L54860,L,300.7,311.7,1395,43.7,215,False,No Failure
4230,M19089,M,302.2,310.8,1408,46.8,49,False,No Failure
2390,L49569,L,299.2,308.5,1867,27.0,138,False,No Failure
4779,H34192,H,303.6,312.2,1371,54.6,112,True,Heat Dissipation Failure
2853,M17712,M,300.5,309.4,1347,50.1,213,False,No Failure
3704,M18563,M,302.0,311.2,1418,49.5,17,False,No Failure
3274,M18133,M,301.3,309.9,1565,36.0,213,False,No Failure
5388,L52567,L,302.8,312.2,1433,50.0,216,False,No Failure
9482,L56661,L,298.9,309.6,1365,50.9,183,False,No Failure
5067,L52246,L,304.1,313.1,1550,30.9,9,False,No Failure
2497,M17356,M,299.2,308.9,1573,37.4,212,False,No Failure
8300,L55479,L,298.7,310.0,1637,31.8,42,False,No Failure
3485,L50664,L,301.9,310.8,1519,39.0,90,False,No Failure
3364,L50543,L,301.4,310.6,1555,43.3,212,False,No Failure
8813,M23672,M,297.2,308.4,1378,41.9,97,False,No Failure
8543,H37956,H,298.4,309.4,1512,35.3,51,False,No Failure
6835,L54014,L,301.1,311.0,1378,51.1,190,False,No Failure
7147,L54326,L,300.4,309.9,1496,31.8,154,False,No Failure
5606,L52785,L,302.9,312.2,1510,41.4,94,False,No Failure
4735,L51914,L,303.2,311.5,1507,39.2,225,False,No Failure
6464,H35877,H,300.5,310.0,1358,60.4,102,False,No Failure
9978,L57157,L,298.6,308.3,1422,40.4,179,False,No Failure
3838,L51017,L,302.4,311.2,1450,47.9,154,False,No Failure
5237,L52416,L,303.8,313.1,1394,45.4,36,False,No Failure
8116,L55295,L,300.4,311.8,1367,57.2,10,False,No Failure
7436,L54615,L,299.9,311.3,1504,40.7,20,False,No Failure
5758,L52937,L,301.9,311.3,1366,55.6,57,False,No Failure
4402,H33815,H,302.2,310.0,1468,43.6,38,False,No Failure
1928,H31341,H,298.0,307.8,1314,47.8,19,False,No Failure
4552,M19411,M,302.6,310.5,1524,33.7,204,False,No Failure
4853,L52032,L,303.7,312.2,1619,34.9,92,False,No Failure
1108,M15967,M,296.7,307.5,1515,42.1,55,False,No Failure
6371,L53550,L,300.1,309.6,1321,46.9,75,False,No Failure
1507,L48686,L,298.0,308.8,1610,33.7,212,False,No Failure
7244,M22103,M,300.0,310.2,1393,51.2,190,False,No Failure
4167,H33580,H,302.3,310.6,1525,48.7,114,False,No Failure
1239,M16098,M,297.1,308.4,1615,32.6,184,False,No Failure
2490,H31903,H,298.9,308.7,1500,41.6,187,False,No Failure
9771,H39184,H,298.6,309.5,1584,31.8,27,False,No Failure
6381,L53560,L,300.2,309.8,1430,55.0,102,False,No Failure
6840,L54019,L,301.2,311.2,1558,34.1,204,False,No Failure
8022,M22881,M,301.0,312.0,1499,34.6,207,False,No Failure
3381,L50560,L,301.4,310.7,1590,36.3,43,False,No Failure
9542,M24401,M,299.5,310.8,1754,31.3,114,False,No Failure
2311,M17170,M,299.0,308.4,1535,47.5,163,False,No Failure
5140,M19999,M,304.4,313.6,1510,38.9,199,False,No Failure
3340,L50519,L,301.6,310.9,1492,45.2,155,False,No Failure
5836,L53015,L,301.3,311.2,1668,30.1,18,False,No Failure
6118,L53297,L,300.8,311.0,1578,44.4,86,False,No Failure
3025,L50204,L,300.5,309.6,1465,41.6,217,False,No Failure
5206,L52385,L,303.7,312.7,1468,43.3,168,False,No Failure
2700,L49879,L,299.9,309.4,1363,60.9,57,False,No Failure
8675,M23534,M,297.4,308.6,1528,29.1,163,False,No Failure
3027,M17886,M,300.4,309.5,1888,21.9,221,False,No Failure
744,L47923,L,296.8,308.2,1361,53.8,193,False,No Failure
1516,M16375,M,298.2,308.9,1614,35.5,15,False,No Failure
6048,H35461,H,300.9,311.0,1853,23.6,122,False,No Failure
316,L47495,L,297.9,308.4,1646,40.6,175,False,No Failure
6239,L53418,L,301.3,310.8,1390,57.4,164,False,No Failure
3432,L50611,L,301.6,310.7,1429,43.6,176,False,No Failure
9729,L56908,L,298.8,309.8,1563,33.7,143,False,No Failure
612,L47791,L,298.1,310.0,1553,40.9,49,False,No Failure
6190,M21049,M,301.0,310.9,1910,21.9,37,False,No Failure
5721,L52900,L,302.3,311.9,1434,51.9,173,False,No Failure
867,L48046,L,295.9,306.6,1678,26.7,53,False,No Failure
9530,L56709,L,299.1,310.3,1459,46.7,84,False,No Failure
7217,M22076,M,300.0,309.9,1651,28.1,114,False,No Failure
180,L47359,L,298.2,308.3,1304,49.8,45,False,No Failure
9075,M23934,M,297.2,308.1,1554,41.3,147,False,No Failure
7370,M22229,M,299.6,310.1,1646,29.6,73,False,No Failure
7412,L54591,L,300.0,311.1,1425,47.8,179,False,No Failure
6455,L53634,L,300.7,310.1,1598,32.8,79,False,No Failure
9653,M24512,M,299.0,310.0,1488,46.3,198,False,No Failure
7635,M22494,M,300.3,311.3,1506,40.7,98,False,No Failure
4933,L52112,L,303.3,312.1,1418,44.7,83,False,No Failure
3998,L51177,L,302.2,311.1,1394,53.7,140,False,No Failure
2798,M17657,M,300.3,309.6,1398,53.7,82,False,No Failure
2680,L49859,L,299.8,309.5,1476,44.4,14,False,No Failure
9418,H38831,H,298.1,308.4,1515,43.8,6,False,No Failure
2919,M17778,M,300.6,309.5,1492,34.0,144,False,No Failure
8365,L55544,L,298.9,309.8,1396,49.0,13,False,No Failure
4366,L51545,L,302.0,310.0,1449,48.8,181,False,No Failure
614,L47793,L,298.1,309.9,1634,30.0,53,False,No Failure
9704,L56883,L,298.9,310.0,1422,43.6,78,False,No Failure
2382,L49561,L,299.1,308.2,1493,34.9,119,False,No Failure
2073,L49252,L,299.6,309.5,1570,35.5,189,False,Random Failures
6486,L53665,L,300.6,309.8,1629,37.6,162,False,No Failure
3681,L50860,L,302.2,311.5,1744,31.2,172,False,No Failure
662,M15521,M,297.6,309.0,1427,45.6,179,False,No Failure
1411,M16270,M,298.9,310.1,1469,53.2,189,False,No Failure
9700,L56879,L,298.8,309.8,1508,36.3,69,False,No Failure
8417,M23276,M,298.8,310.1,1585,31.3,147,False,No Failure
4983,L52162,L,303.7,313.0,1811,24.3,209,False,No Failure
7343,M22202,M,299.7,310.3,1661,34.5,6,False,No Failure
3829,M18688,M,302.3,310.8,1762,27.8,127,False,No Failure
3887,L51066,L,302.4,311.3,1392,50.5,51,False,No Failure
7483,M22342,M,300.2,311.6,1510,47.5,146,False,No Failure
291,L47470,L,298.1,308.4,1438,45.6,105,False,No Failure
699,L47878,L,297.6,308.8,1539,40.2,72,False,No Failure
7267,L54446,L,300.4,310.5,1578,32.8,26,False,No Failure
1557,H30970,H,298.4,308.5,1398,47.1,122,False,No Failure
1591,L48770,L,298.2,308.4,1497,37.7,207,False,No Failure
7474,M22333,M,300.3,311.6,1304,62.8,118,False,No Failure
4956,M19815,M,303.8,312.5,1366,45.1,143,False,No Failure
1759,L48938,L,298.1,307.4,1608,33.9,193,False,No Failure
7184,L54363,L,300.2,310.3,1445,50.9,34,False,No Failure
9478,M24337,M,298.8,309.6,1693,33.3,170,False,No Failure
4453,M19312,M,302.5,310.3,1447,39.2,172,False,No Failure
560,L47739,L,297.5,309.4,1503,40.6,144,False,No Failure
654,L47833,L,297.8,309.3,2015,20.1,161,False,No Failure
8205,L55384,L,299.4,310.9,1751,27.8,10,False,No Failure
9593,L56772,L,299.2,310.4,1379,46.8,39,False,No Failure
3455,L50634,L,301.5,310.4,1918,21.8,9,False,No Failure
9444,H38857,H,298.0,308.8,1411,53.8,73,False,No Failure
2680,L49859,L,299.8,309.5,1476,44.4,14,False,No Failure
7344,L54523,L,299.6,310.2,1468,48.0,9,False,No Failure
9080,H38493,H,297.3,308.1,1554,42.4,158,False,No Failure
2112,L49291,L,299.4,309.0,1436,47.9,75,False,No Failure
4846,M19705,M,303.3,311.8,1583,33.3,72,False,No Failure
3313,L50492,L,301.4,310.4,1639,28.9,94,False,No Failure
4180,L51359,L,302.4,310.9,1349,46.1,148,True,Heat Dissipation Failure
2776,L49955,L,300.1,309.4,1560,47.7,26,False,No Failure
6709,M21568,M,301.4,310.6,1464,37.4,74,False,No Failure
1798,M16657,M,298.0,307.6,1508,41.8,89,False,No Failure
1933,M16792,M,298.1,308.0,1686,29.3,35,False,No Failure
8089,L55268,L,300.1,311.4,1356,45.7,149,False,No Failure
112,H29525,H,298.7,308.6,1499,43.5,84,False,No Failure
7811,L54990,L,300.1,311.5,2218,17.0,123,False,No Failure
6082,L53261,L,300.9,310.7,1517,41.7,210,False,No Failure
7090,L54269,L,300.6,310.2,1622,34.1,3,False,No Failure
8397,H37810,H,298.6,309.6,1593,33.3,95,False,No Failure
2148,L49327,L,299.4,308.9,1550,33.7,174,False,No Failure
6927,H36340,H,301.1,311.6,1417,53.4,0,False,No Failure
2843,L50022,L,300.3,309.3,1345,53.5,192,False,No Failure
73,L47252,L,298.9,309.1,1369,44.4,198,False,No Failure
